subjectCode,name,noc
ATQGTC1,Giáo dục thể chất 1,1
ATCTHT1,Tin học đại cương,2
ATCBTT7,Toán cao cấp A1,3
ATCBTT3,Toán cao cấp A3,3
AT1LLLM1,Triết học Mác - Lênin,3
ATCTHT3,Lập trình căn bản,3
AT1LLLM3,Chủ nghĩa xã hội khoa học,2
ATQGTC2,Giáo dục thể chất 2,1
AT1LLLM2,Kinh tế chính trị Mác - Lênin,2
ATLLDL2,Kỹ năng mềm,2
ATCBTT2,Toán cao cấp A2,3
ATCBLH1,Vật lý đại cương A1,3
CTCBTT7,Phương pháp tính,2
ATCBTT8,Toán xác suất thống kê,2
ATCBLH2,Vật lý đại cương A2,3
ATCBNN1,Tiếng Anh 1,3
ATCTHT11,Công nghệ mạng máy tính (Mạng máy tính),3
ATQGTC3,Giáo dục thể chất 3,1
ATLLLM3,Tâm lý học đại cương (môn thay thế),2
ATCBTT5,Toán chuyên đề,2
ATLLTH1,Tư tưởng Hồ Chí Minh,2
ATATAT2,An toàn mạng máy tính,4
ATATTM3,Giao thức an toàn mạng,2
ATATKH3,Kỹ thuật giấu tin,2
ATCTHT2,Kiến trúc máy tính,2
ATCTKM8,Phân tích thiết kế hệ thống,2
ATCBNN7,Tiếng Anh chuyên ngành (ATTT),4
AT1LLDL1,Lịch sử Đảng cộng sản Việt Nam,2
ATCBTT6,Toán rời rạc,2
CTCTHT18,Lập trình driver,4
CTCTHT17,Lập trình nhân Linux,4
CTCBNN7,Tiếng Anh chuyên ngành (CNTT),4
ATCTHT8,Otomat và ngôn ngữ hình thức,2
DT1DVVT7,Phát triển ứng dụng IoT,3
DT1DVDM7,Thiết kế hệ thống nhúng,3
DT1CBNN7,Tiếng Anh chuyên ngành,4
DT1DVDM3,Thiết kế hệ thống số,3
DT1DVKD1,Linh kiện điện tử,3
DT1DVKD4,Tín hiệu và hệ thống,2
ATATAT4,Đánh giá & kiểm định AT hệ TTT,3
ATATAT3,"Phân tích, thiết kế an toàn mạng máy tính",2
ATATTM4,Thu thập và phân tích TT AN mạng,3
ATCTKM6,Lập trình mạng,2
